frame,intensity
1,55467
2,55412
3,55321
4,55135
5,54652
6,54409
7,54383
8,54380
9,54383
10,54367
11,54372
12,54375
13,54385
14,54403
15,54458
16,54529
17,54618
18,54764
19,54928
20,55082
21,55211
22,55307
23,55418
24,55496
25,55499
26,55568
27,55603
28,55550
29,55236
30,54772
31,54543
32,54422
33,54392
34,54388
35,54418
36,54457
37,54515
38,54602
39,54667
40,54742
41,54889
42,55003
43,55090
44,55232
45,55443
46,55558
47,55629
48,55727
49,55783
50,55765
51,55697
52,55426
53,54939
54,54701
55,54669
56,54666
57,54664
58,54708
59,54777
60,54868
61,55039
62,55056
63,55143
64,55214
65,55334
66,55462
67,55601
68,55698
69,55778
70,55871
71,55830
72,55888
73,55845
74,55534
75,55052
76,54797
77,54719
78,54672
79,54624
80,54620
81,54649
82,54683
83,54720
84,54785
85,54877
86,54979
87,55144
88,55292
89,55444
90,55570
91,55731
92,55703
93,55752
94,55798
95,55840
96,55644
97,55191
98,54753
99,54630
100,54580
101,54564
102,54524
103,54512
104,54530
105,54550
106,54566
107,54587
108,54628
109,54710
110,54798
111,54909
112,55037
113,55163
114,55273
115,55384
116,55489
117,55566
118,55579
119,55211
120,54732
121,54352
122,54175
123,54172
124,54174
125,54186
126,54201
127,54212
128,54214
129,54210
130,54220
131,54239
132,54293
133,54392
134,54487
135,54609
136,54718
137,54830
138,54899
139,54991
140,55133
141,55192
142,55188
143,54963
144,54490
145,54235
146,54139
147,54077
148,54077
149,54069
150,54084
151,54083
152,54062
153,54037
154,54074
155,54117
156,54200
157,54349
158,54515
159,54690
160,54833
161,54968
162,55052
163,55162
164,55259
165,55328
166,55378
167,55279
168,54848
169,54410
170,54208
171,54141
172,54115
173,54095
174,54120
175,54174
176,54237
177,54321
178,54417
179,54531
180,54670
181,55000
182,55102
183,55203
184,55298
185,55378
186,55495
187,55487
188,55492
189,55595
190,55593
191,55570
192,55366
193,55109
194,55017
195,54947
196,54893
197,54858
198,54882
199,54915
200,54957
201,54995
202,55071
203,55142
204,55258
205,55381
206,55525
207,55612
208,55731
209,55839
210,55932
211,55924
212,55994
213,55909
214,55677
215,55050
216,54781
217,54741
218,54694
219,54672
220,54667
221,54682
222,54706
223,54746
224,54768
225,54853
226,54969
227,55084
228,55203
229,55318
230,55447
231,55589
232,55687
233,55789
234,55883
235,55926
236,55731
237,55240
238,54739
239,54436
240,54440
241,54405
242,54340
243,54358
244,54384
245,54452
246,54479
247,54540
248,54575
249,54645
250,54700
251,54821
252,54932
253,55067
254,55190
255,55313
256,55414
257,55507
258,55517
259,55258
260,54713
261,54357
262,54271
263,54275
264,54276
265,54262
266,54263
267,54296
268,54325
269,54370
270,54394
271,54488
272,54440
273,54485
274,54585
275,54655
276,54751
277,54839
278,54930
279,55024
280,55117
281,55138
282,54987
283,54496
284,54141
285,54022
286,53987
287,53972
288,53969
289,54018
290,54071
291,54129
292,54194
293,54250
294,54324
295,54453
296,54572
297,54721
298,54838
299,54963
300,55064
301,55198
302,55162
303,55184
304,55255
305,55260
306,54943
307,54498
308,54226
309,54150
310,54151
311,54137
312,54133
313,54161
314,54222
315,54275
316,54374
317,54485
318,54596
319,54713
320,54831
321,54932
322,55029
323,55104
324,55189
325,55281
326,55353
327,55418
328,55436
329,55456
330,55252
331,54763
332,54283
333,54240
334,54259
335,54246
336,54250
337,54246
338,54280
339,54338
340,54389
341,54468
342,54608
343,54725
344,54900
345,55064
346,55178
347,55286
348,55349
349,55449
350,55561
351,55578
352,55577
353,55437
354,54988
355,54664
356,54509
357,54434
358,54388
359,54372
360,54381
361,54418
362,54425
363,54444
364,54501
365,54556
366,54638
367,54757
368,54912
369,55065
370,55154
371,55254
372,55357
373,55445
374,55436
375,55325
376,54927
377,54528
378,54406
379,54340
380,54309
381,54304
382,54312
383,54339
384,54359
385,54380
386,54399
387,54429
388,54454
389,54495
390,54562
391,54699
392,54758
393,54828
394,54905
395,54989
396,55078
397,55059
398,54785
399,54325
400,54167
401,54109
402,54069
403,54079
404,54080
405,54107
406,54133
407,54168
408,54214
409,54271
410,54339
411,54448
412,54557
413,54672
414,54817
415,54933
416,55039
417,55146
418,55212
419,55286
420,55264
421,54838
422,54349
423,54105
424,54001
425,54011
426,54012
427,53993
428,54008
429,54043
430,54097
431,54157
432,54202
433,54313
434,54474
435,54627
436,54850
437,55022
438,55188
439,55269
440,55339
441,55407
442,55459
443,55434
444,55518
445,55376
446,54911
447,54516
448,54365
449,54325
450,54300
451,54214
452,54182
453,54178
454,54200
455,54266
456,54299
457,54408
458,54544
459,54654
460,54767
461,54869
462,54960
463,55067
464,55195
465,55290
466,55399
467,55475
468,55515
469,55487
470,55273
471,54684
472,54353
473,54334
474,54291
475,54275
476,54256
477,54263
478,54275
479,54283
480,54290
481,54339
482,54350
483,54424
484,54510
485,54622
486,54733
487,54819
488,54924
489,55025
490,55130
491,55230
492,55342
493,55357
494,55120
495,54632
496,54309
497,54209
498,54164
499,54149
500,54144
501,54176
502,54206
503,54233
504,54260
505,54335
506,54375
507,54489
508,54585
509,54747
510,54913
511,55107
512,55138
513,55191
514,55287
515,55366
516,55394
517,55250
518,54710
519,54380
520,54311
521,54258
522,54222
523,54203
524,54221
525,54256
526,54290
527,54313
528,54361
529,54443
530,54512
531,54634
532,54769
533,54925
534,55070
535,55183
536,55286
537,55378
538,55473
539,55495
540,55259
541,54613
542,54209
543,54161
544,54120
545,54107
546,54100
547,54114
548,54114
549,54166
550,54191
551,54220
552,54267
553,54385
554,54483
555,54577
556,54693
557,54825
558,54945
559,55057
560,55156
561,55238
562,55258
563,55027
564,54563
565,54191
566,54042
567,53997
568,53963
569,53957
570,53957
571,53965
